Treatment,Treatment_t,Pattern_k,AE_type,AE_type_j,Phi_kj
AC,1,1,NAUSEA_1,537,0.999279903773912
AC,1,1,NAUSEA_2,538,0.000496333995319969
AC,1,1,NAUSEA_3,539,0.000115468891296766
AC,1,1,KIDNEY CALCULUS_2,444,1.35401484298508e-07
AC,1,1,KIDNEY CALCULUS_1,443,1.35021872693328e-07
AC,1,1,UNTRANSLATABLE_4,799,1.34360066420618e-07
AC,1,1,UNTRANSLATABLE_2,798,1.34275845388572e-07
AC,1,1,INFECTION FUNGAL_1,420,1.34123255074795e-07
AC,1,1,BILIRUBINEM_2,74,1.33999907151917e-07
AC,1,1,UNTRANSLATABLE_1,797,1.33942869638576e-07
AC,1,1,APPLICAT SITE REACT_1,44,1.33704160920362e-07
AC,1,1,NEOPL UTER_3,546,1.33560567029317e-07
AC,1,1,EUPHORIA_1,262,1.33547991395333e-07
AC,1,1,ABDO ENLARGE_1,1,1.33251981786235e-07
AC,1,1,MESENTERIC ARTERIAL OCCLUSION_3,501,1.32978759700095e-07
AC,1,1,PAROSMIA_1,629,1.32970421909417e-07
AC,1,1,PAROSMIA_2,630,1.32859602012136e-07
AC,1,1,HYPERKINESIA_1,365,1.32858529368396e-07
AC,1,1,CREATININE INC_1,142,1.3277877402562e-07
AC,1,1,URIN ABNORM_1,801,1.32777759521404e-07
AC,1,1,LARYNGISMUS_1,454,1.32770707097207e-07
AC,1,1,DYSTONIA_1,203,1.32749872864271e-07
AC,1,1,LIVER TENDER_1,475,1.32731351511462e-07
AC,1,1,PARESTHESIA_1,628,1.32643616061282e-07
AC,1,1,HICCUP_1,350,1.32540098605227e-07
AC,1,1,GLAUCOMA_1,293,1.32530602139732e-07
AC,1,1,VESTIBUL DIS_1,827,1.32527057954979e-07
AC,1,1,URIN TRACT DIS_1,805,1.32526153528735e-07
AC,1,1,OSTEOPOROSIS_1,573,1.32407312943518e-07
AC,1,1,LAB TEST ABNORM_1,449,1.32395961971158e-07
AC,1,1,DUODENITIS_3,185,1.32343308786958e-07
AC,1,1,HYPOGLYCEM_1,384,1.3229779323663e-07
AC,1,1,TOOTH DISCOLOR_1,781,1.32270525358057e-07
AC,1,1,URIN TRACT DIS_2,806,1.32250460327156e-07
AC,1,1,UVEITIS_2,812,1.32199981503114e-07
AC,1,1,NODULE SUBCUTAN_1,565,1.32197917560651e-07
AC,1,1,EDEMA LABIAL_1,217,1.3217102024408e-07
AC,1,1,TONGUE DISCOLOR_1,776,1.32160215899301e-07
AC,1,1,NEOPL_1,547,1.32159556772674e-07
AC,1,1,NECRO SKIN_1,543,1.32148236992686e-07
AC,1,1,EDEMA GENERAL_1,216,1.32148096956237e-07
AC,1,1,EYE DIS_1,265,1.32143854330064e-07
AC,1,1,IRITIS_2,434,1.32113758305404e-07
AC,1,1,HYPESTHESIA_1,381,1.32094460147884e-07
AC,1,1,TORTICOLLIS_1,782,1.31994952188779e-07
AC,1,1,VASC DIS_1,818,1.31975344927454e-07
AC,1,1,MONILIA GI_2,508,1.31936585057573e-07
AC,1,1,HALITOSIS_1,300,1.31922787351784e-07
AC,1,1,HALLUCIN_3,301,1.31863558461045e-07
AC,1,1,ARRHYTHMIA VENT_1,46,1.3185125301325e-07
AC,1,1,HEMATEMESIS_1,334,1.318351587397e-07
AC,1,1,UG DIS_2,787,1.31821145823478e-07
AC,1,1,GOITER_1,297,1.31818670175773e-07
AC,1,1,ULCER INTEST_2,789,1.31803938767809e-07
AC,1,1,CUSHINGS SYND_2,143,1.31795777790621e-07
AC,1,1,LIVER FAIL_3,469,1.31780075220958e-07
AC,1,1,FIBRO TENDON_1,270,1.31703112760367e-07
AC,1,1,PAIN CHEST SUBSTERN_1,594,1.31690080017918e-07
AC,1,1,ULCER CORNEAL_2,788,1.31678750825212e-07
AC,1,1,HEMOTHORAX_4,340,1.31582839741161e-07
AC,1,1,HYPOTONIA_2,403,1.31578104411761e-07
AC,1,1,TREMOR_1,783,1.31567503002616e-07
AC,1,1,DELUSIONS_3,157,1.31550694399102e-07
AC,1,1,PSYCHOSIS_3,667,1.31550667119486e-07
AC,1,1,PHARYNGITIS_1,636,1.31517254150572e-07
AC,1,1,URIN RETENT_1,804,1.31516630961759e-07
AC,1,1,ECZEMA_1,210,1.31492834901864e-07
AC,1,1,DREAM ABNORM_1,180,1.31466650061387e-07
AC,1,1,STOOL ABNORM_1,733,1.3146501090154e-07
AC,1,1,HEMOLYSIS_2,338,1.31436194066652e-07
AC,1,1,MELENA_1,492,1.31421206653929e-07
AC,1,1,PARESTH CIRCUMORAL_1,627,1.31401720887663e-07
AC,1,1,HEPATOMEGALY_1,341,1.31399867433758e-07
AC,1,1,TREMOR_3,784,1.31393735850531e-07
AC,1,1,ABDO SYND ACUTE_3,2,1.31393449569533e-07
AC,1,1,PLEURAL DIS_1,645,1.31359846853363e-07
AC,1,1,PARALYSIS FACIAL_2,624,1.31344184793219e-07
AC,1,1,BREAST ENGORGE_1,82,1.31340741719212e-07
AC,1,1,ECZEMA_2,211,1.31313253085046e-07
AC,1,1,PYELONEPHRITIS_3,669,1.31302233014821e-07
AC,1,1,NEOPLASM THYROID_1,548,1.31262509949609e-07
AC,1,1,PHARYNGITIS_2,637,1.31262228522004e-07
AC,1,1,CYANOSIS_1,144,1.31252425018266e-07
AC,1,1,CARDIOMEGALY_1,94,1.3124824764972e-07
AC,1,1,EDEMA LUNG_1,219,1.31247619965944e-07
AC,1,1,REFRACT DIS_1,689,1.31238180336718e-07
AC,1,1,TOOTH CARIES_1,777,1.31235230550719e-07
AC,1,1,HEAT STROKE_1,312,1.31227904112104e-07
AC,1,1,EDEMA LARYNX_1,218,1.31218037744527e-07
AC,1,1,ILEUS_3,409,1.31181001335909e-07
AC,1,1,ANOMALY GI_1,34,1.3115664176634e-07
AC,1,1,CATARACT_2,99,1.31147480615364e-07
AC,1,1,AKATHISIA_3,16,1.3114726318173e-07
AC,1,1,PHARYNGITIS_3,638,1.31140237216659e-07
AC,1,1,HEMOPTYSIS_1,339,1.31136814284074e-07
AC,1,1,ACCOMMODATION ABNORM_1,10,1.31132822385049e-07
AC,1,1,BREAST ENGORGE_2,83,1.31121214227726e-07
AC,1,1,KERATOCONJUNCTIVITIS_1,442,1.31113739968442e-07
AC,1,1,ULCER STOMACH_2,796,1.31107392363715e-07
AC,1,1,INCONTIN FECAL_1,410,1.31078598913087e-07
AC,1,1,AV BLOCK_1,73,1.31058819249436e-07
AC,1,1,CARCINOMA BREAST_1,93,1.31048643629539e-07
AC,1,1,FLU SYND_1,273,1.31035262364507e-07
AC,1,1,HYPOTENS POST_2,397,1.31018257450191e-07
AC,1,1,VULVOVAGINITIS_1,841,1.30988251314032e-07
AC,1,1,HYPERLIPEM_2,366,1.30975984871571e-07
AC,1,1,NEURITIS_1,556,1.30975968557532e-07
AC,1,1,UTER FIBROID ENLARGE_4,811,1.30975931487125e-07
AC,1,1,PERITONITIS_3,631,1.30975904546349e-07
AC,1,1,ULCER PEPTIC_2,793,1.3097589271193e-07
AC,1,1,PANCREAS DIS_1,618,1.30975868304346e-07
AC,1,1,DYSARTHRIA_2,186,1.30975864827949e-07
AC,1,1,ARRHYTHMIA NOD_1,45,1.30975862296287e-07
AC,1,1,LIVER DAMAGE_1,468,1.30975842739633e-07
AC,1,1,ENTEROCOL_3,249,1.30975823175878e-07
AC,1,1,ENTERITIS_2,246,1.30975815088072e-07
AC,1,1,ADENOMA THYR_3,13,1.30975814442052e-07
AC,1,1,OCULOGYRIC CRISIS_2,566,1.30975813623044e-07
AC,1,1,ENDOMETRIAL CARCINOMA_4,245,1.30975804857942e-07
AC,1,1,APNEA_4,41,1.30975804322677e-07
AC,1,1,SUBDURAL HEMATOMA_3,736,1.30975795488977e-07
AC,1,1,HEM INTRACRAN_4,322,1.30975778225373e-07
